"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"653","1701",2,1,1,0,0,0,1,2,"WE","WNE, WE","Senegal","14°45'00,000N","16°51'00,000W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"654","1702",2,1,1,0,0,0,1,2,"WE","WNE, WE","Senegal","14°45'00,000N","16°51'00,000W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"655","1703",2,1,1,0,0,0,1,2,"WE","WNE, WE","Senegal","14°45'00,000N","16°51'00,000W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"656","1704",3,1,0,2,0,1,3,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"657","1705",3,1,0,2,0,1,3,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"658","1706",3,1,0,2,0,1,3,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"659","1707",2,1,0,1,0,1,2,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"660","1708",2,1,0,1,0,1,2,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"661","1709",2,1,0,1,0,1,2,1,"HE","HE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"662","171",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"663","1710",2,1,0,0,1,1,1,1,"WE","HNE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"664","1711",2,1,0,0,1,1,1,1,"WE","HNE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"665","1712",2,1,0,0,1,1,1,1,"WE","HNE, WE","China","31°04'00,000N","110°41'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,FALSE
"666","1713",5,1,2,1,1,2,2,3,"WNE","HNE, WNE, HE, WE","Brazil","13°09'29,400S","60°37'50,600W","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"667","1714",5,1,2,1,1,2,2,3,"WNE","HNE, WNE, HE, WE","Brazil","13°09'29,400S","60°37'50,600W","experimental site","Alley cropping","Multi-type",TRUE,TRUE,TRUE
"668","1716",3,1,1,0,1,1,1,2,"WE","HNE, WNE, WE","Brazil","13°09'29,400S","60°37'50,600W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"669","1717",3,1,1,0,1,1,1,2,"WE","HNE, WNE, WE","Brazil","13°09'29,400S","60°37'50,600W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"670","1718",3,1,1,0,1,1,1,2,"WE","HNE, WNE, WE","Brazil","13°09'29,400S","60°37'50,600W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"671","1719",10,3,4,1,2,0,4,7,"WNE","HNE, WNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site","Hedgerows","Multi-type",TRUE,TRUE,TRUE
"672","172",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"673","1720",10,3,4,1,2,0,4,7,"WNE","HNE, WNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site","Hedgerows","Multi-type",TRUE,TRUE,TRUE
"674","1721",13,1,0,1,11,0,2,1,"HE","HNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site",NA,"Edible only",FALSE,TRUE,TRUE
"675","1722",10,3,4,1,2,0,4,7,"WNE","HNE, WNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site","Hedgerows","Multi-type",TRUE,TRUE,TRUE
"676","1723",10,3,4,1,2,0,4,7,"WNE","HNE, WNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site","Hedgerows","Multi-type",TRUE,TRUE,TRUE
"677","1724",13,1,0,1,11,0,2,1,"HE","HNE, HE, WE","USA","38°89'00,000N","92°21'00,000W","experimental site",NA,"Edible only",FALSE,TRUE,TRUE
"678","1725",3,1,2,0,0,1,1,3,"WNE","WNE, WE","Costa Rica","9°53'00,000N","83°38'00,000W","working farm","Multi-strata systems","WNE + WE",TRUE,TRUE,FALSE
"679","1726",2,0,1,1,0,0,1,1,"HE","WNE, HE","China","31°41'00,000N","103°53'00,000E","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"680","1727",2,0,1,1,0,0,1,1,"HE","WNE, HE","China","31°41'00,000N","103°53'00,000E","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"681","1728",2,0,1,1,0,0,1,1,"HE","WNE, HE","China","31°41'00,000N","103°53'00,000E","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"682","1729",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"683","173",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"684","1730",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"685","1731",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"686","1732",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"687","1733",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"688","1734",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"689","1735",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"690","1736",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"691","1737",2,0,1,1,0,0,1,1,"HE","WNE, HE","Brazil","25°06'19,000S","50°02'38,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
