id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
396,3241,Simple,2,2,11.508333,-1.222778,6,6
398,3630,Simple,2,2,9.883333,-83.633333,1,1
399,911,Very simple,2,2,42.666667,12.033333,2,2
404,1682,Very simple,2,2,23.586301,81.173004,8,8
405,1731,Very simple,2,2,-20.750000,-45.866667,2,2
409,2930,Very simple,2,2,46.642368,2.194024,4,4
412,3540,Very simple,2,2,8.545000,77.360000,2,2
413,3626,Very simple,2,2,38.820809,-96.331617,30,30
415,3763,Very simple,2,2,23.586301,81.173004,20,20
416,3824,Very simple,2,2,23.586301,81.173004,1,1
428,5351,Very simple,2,2,28.694722,112.946944,3,3
429,5351,Very simple,2,2,28.544167,112.978889,3,3
430,5351,Very simple,2,2,26.911111,113.392500,3,3
431,5351,Very simple,2,2,26.869444,113.372778,3,3
433,5382,Very simple,2,2,-3.966667,122.500000,4,4
434,5461,Very simple,2,2,-31.033333,30.166667,1,1
435,5864,Very simple,2,2,13.662228,101.086751,2,2
436,6042,Very simple,2,2,23.398611,103.395278,2,2
440,6450,Very simple,2,2,39.027327,16.100968,11,11
441,6477,Simple,2,2,44.144900,22.819000,1,1
443,6477,Simple,2,2,43.935800,22.848300,1,1
445,6613,Simple,2,2,4.350000,10.675000,4,4
446,6846,Simple,2,2,-3.966667,122.500000,10,11
447,6846,Very simple,2,2,-3.966667,122.500000,1,11
450,7730,Very simple,2,2,9.863467,-84.146736,2,2
451,8522,Very simple,2,2,28.050000,73.316667,6,6
452,6030,Very simple,2,2,14.875000,-94.283333,2,2
453,6030,Very simple,2,2,15.083333,-92.433333,2,2
454,9285,Simple,2,2,-1.564272,-78.463033,3,3
455,9506,Simple,2,2,0.155920,113.965382,2,2
460,9916,Very simple,2,2,16.517347,105.913388,21,21
464,9967,Simple,2,2,11.000000,-5.000000,8,8
465,9992,Simple,2,2,-13.162833,27.755214,6,6
466,10067,Very simple,2,2,3.333890,101.209910,1,1
467,213,Very simple,2,2,7.536779,-5.571710,9,9
468,218,Very simple,2,2,30.750000,76.750000,4,4
469,243,Very simple,2,2,9.610294,8.147715,6,6
470,246,Very simple,2,2,7.500000,3.900000,16,16
471,306,Very simple,2,2,30.833333,70.183333,6,6
480,507,Very simple,2,2,-1.100000,36.750000,6,6
483,507,Very simple,2,2,0.000000,37.583333,13,13
485,507,Very simple,2,2,-0.683333,34.783333,19,19
486,507,Very simple,2,2,-0.116667,35.266667,14,14
487,507,Very simple,2,2,0.500000,34.166667,22,22
489,575,Very simple,2,2,-23.383333,-50.183333,3,3
491,673,Very simple,2,2,35.000000,116.000000,2,2
492,675,Very simple,2,2,23.586301,81.173004,3,3
493,786,Very simple,2,2,43.733333,3.666667,1,1
497,910,Very simple,2,2,8.033333,124.900000,2,2
503,1050,Very simple,2,2,17.450000,78.466667,12,12
